LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,PISASCIENCE,BOY,MEANSCORE,A,2015,511,
AUS,PISASCIENCE,GIRL,MEANSCORE,A,2015,509,
AUT,PISASCIENCE,BOY,MEANSCORE,A,2015,504,
AUT,PISASCIENCE,GIRL,MEANSCORE,A,2015,486,
BEL,PISASCIENCE,BOY,MEANSCORE,A,2015,508,
BEL,PISASCIENCE,GIRL,MEANSCORE,A,2015,496,
CAN,PISASCIENCE,BOY,MEANSCORE,A,2015,528,
CAN,PISASCIENCE,GIRL,MEANSCORE,A,2015,527,
CZE,PISASCIENCE,BOY,MEANSCORE,A,2015,497,
CZE,PISASCIENCE,GIRL,MEANSCORE,A,2015,488,
DNK,PISASCIENCE,BOY,MEANSCORE,A,2015,505,
DNK,PISASCIENCE,GIRL,MEANSCORE,A,2015,499,
FIN,PISASCIENCE,BOY,MEANSCORE,A,2015,521,
FIN,PISASCIENCE,GIRL,MEANSCORE,A,2015,541,
FRA,PISASCIENCE,BOY,MEANSCORE,A,2015,496,
FRA,PISASCIENCE,GIRL,MEANSCORE,A,2015,494,
DEU,PISASCIENCE,BOY,MEANSCORE,A,2015,514,
DEU,PISASCIENCE,GIRL,MEANSCORE,A,2015,504,
GRC,PISASCIENCE,BOY,MEANSCORE,A,2015,451,
GRC,PISASCIENCE,GIRL,MEANSCORE,A,2015,459,
HUN,PISASCIENCE,BOY,MEANSCORE,A,2015,478,
HUN,PISASCIENCE,GIRL,MEANSCORE,A,2015,475,
ISL,PISASCIENCE,BOY,MEANSCORE,A,2015,472,
ISL,PISASCIENCE,GIRL,MEANSCORE,A,2015,475,
IRL,PISASCIENCE,BOY,MEANSCORE,A,2015,508,
IRL,PISASCIENCE,GIRL,MEANSCORE,A,2015,497,
ITA,PISASCIENCE,BOY,MEANSCORE,A,2015,489,
ITA,PISASCIENCE,GIRL,MEANSCORE,A,2015,472,
JPN,PISASCIENCE,BOY,MEANSCORE,A,2015,545,
JPN,PISASCIENCE,GIRL,MEANSCORE,A,2015,532,
KOR,PISASCIENCE,BOY,MEANSCORE,A,2015,511,
KOR,PISASCIENCE,GIRL,MEANSCORE,A,2015,521,
LUX,PISASCIENCE,BOY,MEANSCORE,A,2015,487,
LUX,PISASCIENCE,GIRL,MEANSCORE,A,2015,479,
MEX,PISASCIENCE,BOY,MEANSCORE,A,2015,420,
MEX,PISASCIENCE,GIRL,MEANSCORE,A,2015,412,
NLD,PISASCIENCE,BOY,MEANSCORE,A,2015,511,
NLD,PISASCIENCE,GIRL,MEANSCORE,A,2015,507,
NZL,PISASCIENCE,BOY,MEANSCORE,A,2015,516,
NZL,PISASCIENCE,GIRL,MEANSCORE,A,2015,511,
NOR,PISASCIENCE,BOY,MEANSCORE,A,2015,500,
NOR,PISASCIENCE,GIRL,MEANSCORE,A,2015,497,
POL,PISASCIENCE,BOY,MEANSCORE,A,2015,504,
POL,PISASCIENCE,GIRL,MEANSCORE,A,2015,498,
PRT,PISASCIENCE,BOY,MEANSCORE,A,2015,506,
PRT,PISASCIENCE,GIRL,MEANSCORE,A,2015,496,
SVK,PISASCIENCE,BOY,MEANSCORE,A,2015,460,
SVK,PISASCIENCE,GIRL,MEANSCORE,A,2015,461,
ESP,PISASCIENCE,BOY,MEANSCORE,A,2015,496,
ESP,PISASCIENCE,GIRL,MEANSCORE,A,2015,489,
SWE,PISASCIENCE,BOY,MEANSCORE,A,2015,491,
SWE,PISASCIENCE,GIRL,MEANSCORE,A,2015,496,
CHE,PISASCIENCE,BOY,MEANSCORE,A,2015,508,
CHE,PISASCIENCE,GIRL,MEANSCORE,A,2015,502,
TUR,PISASCIENCE,BOY,MEANSCORE,A,2015,422,
TUR,PISASCIENCE,GIRL,MEANSCORE,A,2015,429,
GBR,PISASCIENCE,BOY,MEANSCORE,A,2015,510,
GBR,PISASCIENCE,GIRL,MEANSCORE,A,2015,509,
USA,PISASCIENCE,BOY,MEANSCORE,A,2015,500,
USA,PISASCIENCE,GIRL,MEANSCORE,A,2015,493,
BRA,PISASCIENCE,BOY,MEANSCORE,A,2015,403,
BRA,PISASCIENCE,GIRL,MEANSCORE,A,2015,399,
CHL,PISASCIENCE,BOY,MEANSCORE,A,2015,454,
CHL,PISASCIENCE,GIRL,MEANSCORE,A,2015,440,
EST,PISASCIENCE,BOY,MEANSCORE,A,2015,536,
EST,PISASCIENCE,GIRL,MEANSCORE,A,2015,533,
IDN,PISASCIENCE,BOY,MEANSCORE,A,2015,401,
IDN,PISASCIENCE,GIRL,MEANSCORE,A,2015,405,
ISR,PISASCIENCE,BOY,MEANSCORE,A,2015,469,
ISR,PISASCIENCE,GIRL,MEANSCORE,A,2015,464,
RUS,PISASCIENCE,BOY,MEANSCORE,A,2015,489,
RUS,PISASCIENCE,GIRL,MEANSCORE,A,2015,485,
SVN,PISASCIENCE,BOY,MEANSCORE,A,2015,510,
SVN,PISASCIENCE,GIRL,MEANSCORE,A,2015,516,
OAVG,PISASCIENCE,BOY,MEANSCORE,A,2015,495,
OAVG,PISASCIENCE,GIRL,MEANSCORE,A,2015,491,
LVA,PISASCIENCE,BOY,MEANSCORE,A,2015,485,
LVA,PISASCIENCE,GIRL,MEANSCORE,A,2015,496,
SGP,PISASCIENCE,BOY,MEANSCORE,A,2015,559,
SGP,PISASCIENCE,GIRL,MEANSCORE,A,2015,552,
COL,PISASCIENCE,BOY,MEANSCORE,A,2015,421,
COL,PISASCIENCE,GIRL,MEANSCORE,A,2015,411,
HKG,PISASCIENCE,BOY,MEANSCORE,A,2015,523,
HKG,PISASCIENCE,GIRL,MEANSCORE,A,2015,524,
PER,PISASCIENCE,BOY,MEANSCORE,A,2015,402,
PER,PISASCIENCE,GIRL,MEANSCORE,A,2015,392,
TWN,PISASCIENCE,BOY,MEANSCORE,A,2015,535,
TWN,PISASCIENCE,GIRL,MEANSCORE,A,2015,530,
MAC,PISASCIENCE,BOY,MEANSCORE,A,2015,525,
MAC,PISASCIENCE,GIRL,MEANSCORE,A,2015,532,