"TIV of arms exports from all, 2001-2017",,,,Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,
Generated: 03 October 2018,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total
Albania,,,,,,,,,,,0,,,,,,,0
Algeria,,,,,,,,,,,,,,,,0,,0
Angola,,2,,,,,,,,,,,,,,,,2
Argentina,6,2,,,,2,,,,,1,,,,,,,11
Australia,43,47,44,2,49,14,18,25,80,115,143,45,54,97,87,134,97,1092
Austria,17,83,3,3,4,63,100,15,42,48,51,24,29,15,10,15,22,544
Bahamas,,,,,,,,,,,,,,,0,,,0
Bahrain,2,,,,,,,,,,,,,,,,,2
Belarus,49,63,57,19,53,43,6,224,41,159,96,65,268,68,142,152,23,1528
Belgium,37,35,15,47,159,59,19,217,243,9,111,22,55,10,12,7,12,1069
Bosnia-Herzegovina,,4,,,,,,,,,14,,3,,,,,21
Botswana,,,,,,,,,,,,4,4,,,,,8
Brazil,,26,,46,1,44,53,92,43,151,31,33,40,42,41,111,45,799
Brunei,,,,,,,,,,,24,,,,,12,,36
Bulgaria,10,32,44,19,86,5,9,4,16,4,2,13,21,14,70,61,,409
Canada,129,178,278,278,235,236,333,238,186,244,321,339,262,247,356,144,87,4090
Chile,,1,,,,,,100,,,,,,20,,,0,122
China,515,526,700,413,286,670,510,649,1140,1479,1253,1509,2006,1152,1832,2192,1131,17963
Colombia,,5,,,,,,,,,,0,,,,,10,16
Costa Rica,,,,,,,,0,,,,,,,,,,0
Croatia,,,,,,,,,,,,,,,,,3,3
Czech Republic,88,60,64,1,70,44,32,32,23,5,11,8,41,27,138,133,110,887
Denmark,1,10,5,,,9,6,17,14,8,21,33,9,17,25,26,12,212
Dominican Republic,,,,,,,,,,,,,,,,,4,4
Ecuador,,,,,,,,,,,,,,6,,,,6
Egypt,,,,,,,,,,,,,,7,22,,,30
Eritrea,,,,,,0,,,,,,,,,,,,0
Estonia,,,,,,,,,,,,,,,0,,,0
Finland,33,34,40,34,51,137,77,79,51,60,40,102,75,91,23,66,58,1050
France,1457,1474,1441,2324,1842,1706,2410,2007,1929,897,1758,1035,1492,1697,2077,2278,2162,29986
Georgia,,69,,16,,,,,,,,,,,,7,7,99
Germany (FRG),895,902,1660,1126,2068,2764,3310,2380,2521,2725,1351,847,738,1774,1769,2535,1653,31018
Ghana,,,,,19,,,,,,,,,,,,,19
Greece,2,,6,22,13,23,,,,,,,,,,,30,97
Hungary,,34,,,82,,9,,,,,,41,,,,,166
India,2,0,4,27,19,33,23,15,27,5,3,,14,36,42,42,56,349
Indonesia,16,49,,25,8,8,,1,,,8,,,,,94,102,312
Iran,0,3,9,1,2,75,,43,45,45,86,21,12,47,15,5,10,418
Ireland,,,,,15,30,29,26,26,25,1,25,26,13,,,,217
Israel,469,574,409,609,510,406,544,349,737,655,541,461,426,399,727,1433,1263,10513
Italy,256,478,365,263,832,553,749,422,512,537,944,747,867,683,711,670,660,10249
Japan,,,,,,,40,,,,,,,,,,2,42
Jordan,,,,42,20,,13,13,28,117,,21,25,114,8,17,77,495
Kazakhstan,12,,,5,,6,,,,,,,,,,,,24
Kyrgyzstan,,,92,,,18,18,14,,,,,,,4,5,5,156
Lebanon,,45,,,,,,,,,,,,,,,,45
Libya,,21,16,113,113,18,10,18,32,28,0,,,,,,,368
Lithuania,,3,,,,,,,,,,,,,,,,3
Luxembourg,,,,,,,0,,,,,,,,,,,0
Malaysia,,,,,,,,,0,,,,,,,,,0
Malta,,,,10,,,,,,,,,,,5,,,15
Moldova,42,60,10,,18,3,19,29,20,,11,,,,,,,213
Montenegro,,,,,,71,109,,,18,,,,,,,0,198
Netherlands,203,233,331,204,505,1146,1213,446,495,371,546,863,367,631,464,471,1167,9657
New Zealand,,1,,1,0,,,,,,,75,,,1,12,4,94
North Korea,73,162,134,47,20,20,20,20,20,,,,,1,,,,516
Norway,42,92,101,66,6,17,65,118,155,159,151,172,175,164,240,150,134,2005
Oman,,,,,1,,,,,,,,,,,,7,8
Pakistan,1,9,8,9,24,4,,1,,,,,,,,1,3,60
Peru,14,,,5,,,,,,,,,,,,,,20
Philippines,,,,,,,4,,,,,,,,,,,4
Poland,81,56,81,47,18,282,163,73,75,28,8,24,142,24,11,4,3,1121
Portugal,,,,,,,,99,46,,0,0,,18,7,172,56,398
Qatar,,,,,,2,,,,,0,,,,,,,2
Romania,,,24,,3,8,32,,2,1,0,108,108,,,,,286
Russia,5330,5734,5171,6281,5222,5143,5528,6232,4969,6091,8568,8283,7805,5224,5608,6937,6148,104275
Saudi Arabia,,,,,,18,,,,1,62,,,,,,,82
Serbia,11,,,,,5,5,45,1,31,4,11,11,10,35,23,2,195
Singapore,,4,,65,,,,,31,24,13,76,1,2,48,47,,310
Slovakia,53,32,,46,,7,22,8,,,,4,1,8,3,18,22,223
Slovenia,,,,,,,,,,,,,,,,0,,0
South Africa,37,17,43,72,30,184,126,139,103,235,71,182,96,64,58,65,74,1595
South Korea,228,,96,73,108,158,279,109,224,197,331,218,347,163,101,585,587,3805
Spain,8,16,95,52,108,840,601,602,951,263,1429,546,728,1050,1163,507,814,9771
Sudan,,,,,,,,,,,,,11,,,,,11
Sweden,898,163,515,294,532,388,334,452,407,657,692,476,386,335,184,267,83,7064
Switzerland,207,158,184,254,252,294,301,458,228,241,326,229,174,339,437,186,186,4453
Syria,,,,,,3,,,20,20,,,,,,,,43
Taiwan,6,0,,,,,,,16,,,2,,,4,,2,32
Thailand,,,7,7,,93,,,,,,,,,,2,2,112
Turkey,5,26,42,28,23,82,66,111,63,72,86,143,156,165,288,311,244,1912
UAE,,,,3,11,17,3,1,34,39,3,,33,30,112,73,72,428
Ukraine,511,310,307,199,292,544,631,388,414,479,569,1487,655,651,400,535,240,8612
United Kingdom,1377,1090,744,1206,1060,987,974,967,1050,1151,1025,899,1580,1645,1149,1365,1214,19482
United States,5693,4967,5670,6850,6777,7512,7866,6828,6912,8063,9087,9122,7660,9656,10048,10304,12394,135409
Unknown supplier(s),21,21,5,6,42,2,0,35,13,28,3,14,10,26,9,21,7,263
Uzbekistan,,,252,126,4,,,,209,209,209,,,,34,68,,1111
Venezuela,,,,1,,7,,3,40,,,,,,,,,51
Viet Nam,,,,,,14,,,,,,,,,,,,14
Zimbabwe,4,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,
Total,18882,17913,19070,21386,21593,24815,26680,24145,24234,25691,30006,28289,26954,26780,28522,32262,31106,428327